                                                                                                                             Pathways  ES-medio
                                                                                                       REACTOME_DEADENYLATION_OF_MRNA -0.650654
                                                                                           REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION -0.909364
                                                                                                           REACTOME_SIGNALING_BY_PDGF -0.570828
                                                                                            REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS -0.568086
                                                                                                                REACTOME_PI3K_CASCADE -0.563657
                                                                                    REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE -0.713176
                                                                              REACTOME_PROTEOLYTIC_CLEAVAGE_OF_SNARE_COMPLEX_PROTEINS -0.641437
                                                                REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS -0.636227
                                                         REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS -0.642113
                                                                                                     REACTOME_REGULATORY_RNA_PATHWAYS -0.761278
                                                                                              REACTOME_INWARDLY_RECTIFYING_K_CHANNELS -0.470712
                                                                                     REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX -0.694158
                                                                                         REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING -0.676286
                                                                                         REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION -1.014084
                                                                                                               REACTOME_INFLAMMASOMES -0.641595
                                                                                  REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1 -0.653222
                                                                                     REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A -0.827222
          REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN -0.691622
                                                                                                 REACTOME_G1_S_SPECIFIC_TRANSCRIPTION -0.810717
                                                                           REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX -0.655547
                                                                                                      REACTOME_FANCONI_ANEMIA_PATHWAY -0.809374
                                                                                                REACTOME_REGULATION_OF_IFNA_SIGNALING -0.525243
                                                                                        REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE -0.714678
                                                                             REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA -0.693481
                                                                                                        REACTOME_INFLUENZA_LIFE_CYCLE -0.561857
                                                                    REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION -0.643114
                                                                                                        REACTOME_MEMBRANE_TRAFFICKING -0.600092
                                                                                           REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS -0.957922
                                                                                     REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS -0.726379
                                                                                                                   REACTOME_APOPTOSIS -0.597774
                                                                      REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE -0.498383
                                           REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1 -0.893010
                                                                                                   REACTOME_SIGNALING_BY_FGFR_MUTANTS -0.568068
                                                                                                        REACTOME_MITOTIC_PROMETAPHASE -0.631913
                                                                                     REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION -0.429462
                                                                                              REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING -0.674699
                                                         REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES -0.425026
                                                                      REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI -0.736989
                                                                  REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE -0.912154
                                                                     REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION -0.926952
                                                                                                    REACTOME_ARMS_MEDIATED_ACTIVATION -0.595859
                                                                                                           REACTOME_GLUCOSE_TRANSPORT -0.617293
                                                                                    REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES -0.728164
                                                                                            REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE -0.534100
                                                                                                             REACTOME_G1_S_TRANSITION -0.657573
                                                                                           REACTOME_INTEGRIN_ALPHAIIB_BETA3_SIGNALING -0.809418
                                                                                                       REACTOME_MITOTIC_M_M_G1_PHASES -0.639101
                                                                            REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION -0.790229
                                                                                                 REACTOME_LYSOSOME_VESICLE_BIOGENESIS -0.662629
                                                                                                     REACTOME_SHC_MEDIATED_SIGNALLING -0.818780
                                                                                              REACTOME_REGULATION_OF_SIGNALING_BY_CBL -0.518647
                                                                 REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN -0.839943
                                                       REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE -0.577046
                                                                                                       REACTOME_ION_CHANNEL_TRANSPORT -0.465379
                                                                                                   REACTOME_TRIGLYCERIDE_BIOSYNTHESIS -0.666188
                                                                                     REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER -0.913314
                                                                                                      REACTOME_CELL_CYCLE_CHECKPOINTS -0.711115
                                                                                               REACTOME_SIGNALING_BY_INSULIN_RECEPTOR -0.697526
                                                                                                     REACTOME_SEMAPHORIN_INTERACTIONS -0.560545
                                                                                                   REACTOME_IRON_UPTAKE_AND_TRANSPORT -0.841207
                                                                                                                 REACTOME_XENOBIOTICS -0.671786
                                                                                                                REACTOME_CGMP_EFFECTS -0.541595
                                                                                          REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS -0.548045
                                                                                                             REACTOME_MRNA_PROCESSING -0.702936
                                                                                             REACTOME_CELL_CELL_JUNCTION_ORGANIZATION -0.500134
                                                                                                   REACTOME_UNFOLDED_PROTEIN_RESPONSE -0.549102
                                                                                     REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21 -0.626783
                                                                      REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION -0.972004
                                                                                               REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS -0.747045
                                                                                                         REACTOME_CA_DEPENDENT_EVENTS -0.550859
                                                                                              REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE -0.802581
                                                                       REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM -0.680774
                                                                                                REACTOME_METABOLISM_OF_NON_CODING_RNA -0.798834
